[25817 ms] Verificados: 230,  Fallidos: 84
[26018 ms] Verificados: 232,  Fallidos: 85
[26219 ms] Verificados: 233,  Fallidos: 85
[26420 ms] Verificados: 236,  Fallidos: 86
[26621 ms] Verificados: 238,  Fallidos: 87
[26822 ms] Verificados: 238,  Fallidos: 89
[27022 ms] Verificados: 241,  Fallidos: 89
[27224 ms] Verificados: 241,  Fallidos: 91
[27425 ms] Verificados: 243,  Fallidos: 92
[27627 ms] Verificados: 245,  Fallidos: 92
[27827 ms] Verificados: 247,  Fallidos: 93
[28029 ms] Verificados: 248,  Fallidos: 94
[28230 ms] Verificados: 250,  Fallidos: 94
[28431 ms] Verificados: 252,  Fallidos: 94
[28632 ms] Verificados: 253,  Fallidos: 95
[28833 ms] Verificados: 256,  Fallidos: 95
[29035 ms] Verificados: 257,  Fallidos: 96
[29236 ms] Verificados: 260,  Fallidos: 97
[29437 ms] Verificados: 261,  Fallidos: 98
[29638 ms] Verificados: 262,  Fallidos: 99
[29839 ms] Verificados: 264,  Fallidos: 99
[30040 ms] Verificados: 265,  Fallidos: 101
[30241 ms] Verificados: 267,  Fallidos: 102
[30442 ms] Verificados: 268,  Fallidos: 102
[30643 ms] Verificados: 271,  Fallidos: 103
[30844 ms] Verificados: 272,  Fallidos: 104
[31045 ms] Verificados: 275,  Fallidos: 104
[31246 ms] Verificados: 275,  Fallidos: 105
[31448 ms] Verificados: 278,  Fallidos: 106
[31648 ms] Verificados: 279,  Fallidos: 106
[31849 ms] Verificados: 281,  Fallidos: 106
[32050 ms] Verificados: 284,  Fallidos: 107
[32251 ms] Verificados: 286,  Fallidos: 108
[32453 ms] Verificados: 288,  Fallidos: 109
[32654 ms] Verificados: 288,  Fallidos: 110
[32855 ms] Verificados: 290,  Fallidos: 110
[33057 ms] Verificados: 292,  Fallidos: 112
[33258 ms] Verificados: 294,  Fallidos: 112
[33459 ms] Verificados: 295,  Fallidos: 113
[33660 ms] Verificados: 297,  Fallidos: 113
[33862 ms] Verificados: 299,  Fallidos: 113
[34062 ms] Verificados: 301,  Fallidos: 114
[34263 ms] Verificados: 303,  Fallidos: 114
[34465 ms] Verificados: 306,  Fallidos: 114
[34666 ms] Verificados: 308,  Fallidos: 115
[34866 ms] Verificados: 309,  Fallidos: 116
[35067 ms] Verificados: 311,  Fallidos: 117
[35268 ms] Verificados: 313,  Fallidos: 117
[35470 ms] Verificados: 313,  Fallidos: 119
[35673 ms] Verificados: 314,  Fallidos: 119
[35873 ms] Verificados: 316,  Fallidos: 119
[36074 ms] Verificados: 319,  Fallidos: 120
[36275 ms] Verificados: 322,  Fallidos: 121
[36476 ms] Verificados: 324,  Fallidos: 121
